Kraftwerksnummer Bundesnetzagentur;Unternehmen;Kraftwerksname;"PLZ
(Standort Kraftwerk)";"Ort
(Standort Kraftwerk)";Strasse und Hausnummer (Standort Kraftwerk);Bundesland;Blockname;Datum der Aufnahme der kommerziellen Stromeinspeisung der Erzeugungseinheit [Datum/jahr];Kraftwerksstatus (in Betrieb/vorlaeufig stillgelegt/saisonale KonservierungReservekraftwerk/Sonderfall);Energietraeger;"Spezifizierung ""Mehrere Energietraeger"" und ""Sonstige Energietraeger"" - Hauptbrennstoff";"Spezifizierung ""Mehrere Energietraeger"" - Zusatz- / Ersatzbrennstoffe";"Auswertung
Energietraeger (Zuordnung zu einem Hauptenergietraeger bei Mehreren Energietraegern)";"Foerderberechtigt nach EEG
(ja/nein)";"Waermeauskopplung (KWK)
(ja/nein)";Netto-Nennleistung (elektrische Wirkleistung) in MW;Bezeichnung Verknuepfungspunkt (Schaltanlage) mit dem Stromnetz der Allgemeinen Versorgung gemaess Netzbetreiber;Netz- oder Umspannebene des Anschlusses;Name Stromnetzbetreiber
;EEG-Anlagen < 10 MW;;;;;Bayern;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;13753,50 ;;;
;EEG-Anlagen < 10 MW;;;;;Niedersachsen;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;7504,60 ;;;
;EEG-Anlagen < 10 MW;;;;;Baden-Wuerttemberg;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;6586,40 ;;;
;EEG-Anlagen < 10 MW;;;;;Nordrhein-Westfalen;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;5656,30 ;;;
;EEG-Anlagen < 10 MW;;;;;Nordrhein-Westfalen;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;4679,80 ;;;
;EEG-Anlagen < 10 MW;;;;;Brandenburg;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;4408,90 ;;;
;EEG-Anlagen < 10 MW;;;;;Niedersachsen;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;4349,40 ;;;
;EEG-Anlagen < 10 MW;;;;;Schleswig-Holstein;;01.01.1990;in Betrieb;Windenergie (Onshore-Anlage);;;Windenergie (Onshore-Anlage);Ja;;4170,90 ;;;
;Nicht-EEG-Anlagen < 10 MW;;;;;ohne Zuordnung;;01.01.1990;in Betrieb;Erdgas;;;Erdgas;Nein;;3760,00 ;;;
;EEG-Anlagen < 10 MW;;;;;Brandenburg;;01.01.1990;in Betrieb;Solare Strahlungsenergie;;;Solare Strahlungsenergie;Ja;;3109,20 ;;;
